phy1;1aae50d168cf;sta;add;f8:16:54:6a:13:69;6c;3c;ff,ff,0,0,ff,ff,0,0,ff,ff,0,0,ff,ff,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
phy1;1ab0aa5b0230;txs;f8:16:54:6a:13:69;1;1;0;d7,d7;1,1
phy1;1ab0acd35d70;txs;f8:16:54:6a:13:69;1;1;0;d7,d7;1,1
phy1;1ab0af58a0b2;txs;f8:16:54:6a:13:69;1;1;0;d7,d7;1,1
phy1;1ab0b1cc190d;txs;f8:16:54:6a:13:69;1;1;0;d7,d7;1,1
phy1;1ab0b4480756;txs;f8:16:54:6a:13:69;1;1;0;d7,d7;1,1
phy1;1ab0b6d518ae;txs;f8:16:54:6a:13:69;1;1;0;d7,d7;1,1
phy1;1ab0b956bf65;txs;f8:16:54:6a:13:69;1;1;0;d7,d7;1,1
phy1;1ab0bbd4461e;txs;f8:16:54:6a:13:69;1;1;0;d7,d7;1,1
phy1;1ab0be5693f6;txs;f8:16:54:6a:13:69;1;1;0;d7,d7;1,1
phy1;1ab0c0e7eb81;txs;f8:16:54:6a:13:69;1;1;0;d7,d7;1,1
phy1;1ab0c377e002;txs;f8:16:54:6a:13:69;1;1;0;d7,d7;1,1
phy1;1ab0c606da9d;txs;f8:16:54:6a:13:69;1;1;0;d7,d7;1,1
phy1;1ab0c897a89f;txs;f8:16:54:6a:13:69;1;1;0;d7,d7;1,1
phy1;1ab0cb276e1b;txs;f8:16:54:6a:13:69;1;1;0;d7,d7;1,1
phy1;1ab0cda8da11;txs;f8:16:54:6a:13:69;1;1;0;d7,d7;1,1
phy1;1ab0d028d7f7;txs;f8:16:54:6a:13:69;1;1;0;d7,d7;1,1
phy1;1ab0d2a843ea;txs;f8:16:54:6a:13:69;1;1;0;d7,d7;1,1
phy1;1ab0d51ba37f;txs;f8:16:54:6a:13:69;1;1;0;d7,d7;1,1
phy1;1ab0d79b30c0;txs;f8:16:54:6a:13:69;1;1;0;d7,d7;1,1
phy1;1ab0da0ee418;txs;f8:16:54:6a:13:69;1;1;0;d7,d7;1,1
phy1;1ab0dc9dac26;txs;f8:16:54:6a:13:69;1;1;0;d7,d7;1,1
phy1;1ab0df1dd14e;txs;f8:16:54:6a:13:69;1;1;0;d7,d7;1,1
phy1;1ab0e19024ff;txs;f8:16:54:6a:13:69;1;1;0;d7,d7;1,1
phy1;1ab0e4113de0;txs;f8:16:54:6a:13:69;1;1;0;d7,d7;1,1
phy1;1ab0e6910bfa;txs;f8:16:54:6a:13:69;1;1;0;d7,d7;1,1
phy1;1ab0e912ca44;txs;f8:16:54:6a:13:69;1;1;0;d7,d7;1,1
phy1;1ab0eb92a0cc;txs;f8:16:54:6a:13:69;1;1;0;d7,d7;1,1
phy1;1ab0eb9fee6a;txs;f8:16:54:6a:13:69;1;1;0;d7,d7;1,1
phy1;1ab0ee254ed6;txs;f8:16:54:6a:13:69;1;1;0;d7,d7;1,1
phy1;1ab0f0b4df55;txs;f8:16:54:6a:13:69;1;1;0;d7,d7;1,1
phy1;1ab0f343dac3;txs;f8:16:54:6a:13:69;1;1;0;d7,d7;1,1
phy1;1ab0f5d46135;txs;f8:16:54:6a:13:69;1;1;0;d7,d7;1,1
phy1;1ab0f85a32f8;txs;f8:16:54:6a:13:69;1;1;0;d7,d7;1,1
phy1;1ab0fae5c678;txs;f8:16:54:6a:13:69;1;1;0;d7,d7;1,1
phy1;1aae50d168cf;sta;add;f8:16:54:6a:13:69;6c;3c;ff,ff,0,0,ff,ff,0,0,ff,ff,0,0,ff,ff,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
phy1;1aae51c4bd85;txs;f8:16:54:6a:13:69;1;1;0;110,110;1,1
phy1;1aae51c833bf;txs;f8:16:54:6a:13:69;1;1;0;d7,d7;1,1
phy1;1aae5454d265;txs;f8:16:54:6a:13:69;2;2;0;d7,d7;1,1
phy1;1aae56e2dace;txs;f8:16:54:6a:13:69;1;1;0;d7,d7;1,1
phy1;1aae5972d68a;txs;f8:16:54:6a:13:69;1;1;0;d7,d7;1,1
